Data;NDVI;M�dia - Desvio Padr�o;M�dia + Desvio Padr�o
23/04/2011;0,5015;0,448;0,5551
09/05/2011;0,528;0,4755;0,5805
25/05/2011;0,5298;0,4801;0,5795
10/06/2011;0,4741;0,4239;0,5243
26/06/2011;0,4364;0,3867;0,4861
12/07/2011;0,4014;0,3487;0,4541
28/07/2011;0,3794;0,3269;0,4318
13/08/2011;0,3431;0,298;0,3881
29/08/2011;0,3523;0,2899;0,4146
14/09/2011;0,3518;0,2873;0,4163
30/09/2011;0,3555;0,2796;0,4314
16/10/2011;0,3948;0,2964;0,4931
01/11/2011;0,355;0,2402;0,4697
17/11/2011;0,5485;0,4596;0,6374
03/12/2011;0,77;0,7152;0,8247
19/12/2011;0,838;0,7877;0,8883
01/01/2012;0,7822;0,7362;0,8281
17/01/2012;0,7212;0,582;0,8604
02/02/2012;0,7549;0,7014;0,8084
18/02/2012;0,7239;0,6964;0,7514
05/03/2012;0,6265;0,5593;0,6937
21/03/2012;0,5496;0,4527;0,6464
06/04/2012;0,6207;0,573;0,6684
22/04/2012;0,5622;0,491;0,6335
08/05/2012;0,5337;0,4367;0,6307
24/05/2012;0,4602;0,3529;0,5676
09/06/2012;0,5152;0,4159;0,6145
25/06/2012;0,5548;0,4845;0,625
11/07/2012;0,5868;0,5103;0,6633
27/07/2012;0,6175;0,5587;0,6763
12/08/2012;0,5486;0,5033;0,594
28/08/2012;0,5169;0,4881;0,5458
13/09/2012;0,4003;0,3284;0,4722
29/09/2012;0,3692;0,2883;0,4501
15/10/2012;0,3671;0,2573;0,4768
31/10/2012;0,3897;0,2852;0,4942
16/11/2012;0,4733;0,3985;0,5481
02/12/2012;0,5491;0,4778;0,6203
18/12/2012;0,6988;0,6494;0,7482
01/01/2013;0,7843;0,7199;0,8487
17/01/2013;0,7833;0,7397;0,8269
02/02/2013;0,7951;0,7624;0,8277
18/02/2013;0,68;0,6228;0,7371
06/03/2013;0,6388;0,57;0,7076
22/03/2013;0,6076;0,5093;0,706
07/04/2013;0,6268;0,5591;0,6946
23/04/2013;0,6225;0,5614;0,6835
09/05/2013;0,4858;0,4263;0,5454
25/05/2013;0,4942;0,4031;0,5853
10/06/2013;0,4935;0,4026;0,5843
26/06/2013;0,583;0,5393;0,6268
12/07/2013;0,6136;0,5604;0,6668
28/07/2013;0,6149;0,5695;0,6604
13/08/2013;0,5243;0,4711;0,5774
29/08/2013;0,4544;0,3995;0,5092
14/09/2013;0,3847;0,3;0,4693
30/09/2013;0,4335;0,3323;0,5347
16/10/2013;0,4353;0,3593;0,5113
01/11/2013;0,4906;0,4356;0,5456
17/11/2013;0,4108;0,2946;0,5271
03/12/2013;0,6394;0,6082;0,6705
19/12/2013;0,8161;0,7745;0,8577
01/01/2014;0,8161;0,7745;0,8577
17/01/2014;0,802;0,7041;0,8999
02/02/2014;0,6563;0,591;0,7215
18/02/2014;0,5274;0,4654;0,5894
06/03/2014;0,5477;0,4777;0,6176
22/03/2014;0,5875;0,5127;0,6623
07/04/2014;0,6026;0,5571;0,648
23/04/2014;0,7004;0,6552;0,7456
09/05/2014;0,6253;0,568;0,6826
25/05/2014;0,5969;0,5527;0,6411
10/06/2014;0,5638;0,5317;0,596
26/06/2014;0,5182;0,4812;0,5553
12/07/2014;0,5142;0,4667;0,5618
28/07/2014;0,4929;0,46;0,5259
13/08/2014;0,4441;0,4028;0,4854
29/08/2014;0,3608;0,2734;0,4481
14/09/2014;0,3235;0,2466;0,4004
30/09/2014;0,3363;0,2473;0,4253
16/10/2014;0,35;0,2375;0,4626
01/11/2014;0,3693;0,2741;0,4644
17/11/2014;0,3808;0,2682;0,4935
03/12/2014;0,4726;0,3772;0,5681
19/12/2014;0,6079;0,5464;0,6694
01/01/2015;0,7145;0,6331;0,7959
17/01/2015;0,7404;0,6834;0,7975
02/02/2015;0,8467;0,7793;0,914
18/02/2015;0,822;0,7773;0,8668
06/03/2015;0,6602;0,5933;0,727
22/03/2015;0,6233;0,5592;0,6874
07/04/2015;0,6725;0,6443;0,7006
23/04/2015;0,6999;0,6703;0,7294
09/05/2015;0,6646;0,6061;0,7231
25/05/2015;0,6528;0,5984;0,7072
10/06/2015;0,5767;0,5061;0,6473
26/06/2015;0,5803;0,5406;0,62
12/07/2015;0,5499;0,5033;0,5966
28/07/2015;0,4412;0,3918;0,4906
13/08/2015;0,3818;0,3364;0,4271
29/08/2015;0,3909;0,3352;0,4466
14/09/2015;0,4548;0,3993;0,5103
30/09/2015;0,5205;0,4751;0,5658
16/10/2015;0,5077;0,4623;0,5531
01/11/2015;0,5885;0,5111;0,666
17/11/2015;0,4575;0,3505;0,5645
03/12/2015;0,7355;0,6762;0,7947
19/12/2015;0,701;0,6382;0,7638
01/01/2016;0,7492;0,6938;0,8046
17/01/2016;0,8357;0,7853;0,8861
02/02/2016;0,8202;0,752;0,8885
18/02/2016;0,5961;0,5295;0,6627
05/03/2016;0,6377;0,566;0,7094
21/03/2016;0,6501;0,6227;0,6775
06/04/2016;0,6666;0,5867;0,7465
22/04/2016;0,6889;0,6078;0,7701
08/05/2016;0,6936;0,6065;0,7808
24/05/2016;0,7308;0,6598;0,8017
09/06/2016;0,6448;0,5744;0,7152
25/06/2016;0,4944;0,4314;0,5575
11/07/2016;0,4531;0,3933;0,5129
27/07/2016;0,4606;0,4146;0,5066
12/08/2016;0,5084;0,4724;0,5444
28/08/2016;0,4725;0,4376;0,5074
13/09/2016;0,6532;0,6149;0,6915
29/09/2016;0,477;0,4104;0,5437
15/10/2016;0,456;0,3566;0,5554
31/10/2016;0,548;0,4697;0,6263
16/11/2016;0,585;0,5139;0,656
02/12/2016;0,7581;0,6508;0,8654
18/12/2016;0,8162;0,7089;0,9236
01/01/2017;0,7026;0,6227;0,7825
17/01/2017;0,7278;0,627;0,8285
02/02/2017;0,6819;0,6375;0,7263
18/02/2017;0,564;0,4671;0,6608
